Startup_Name,number_of_rounds,total_funding
mfine,2,4200015
"Aye Finance",5,242
Lendingkart,6,183
Magicpin,4,176
Toppr,5,167
Paytm,7,165
"Ola Cabs",8,152
Zefo,2,152
Infibeam,2,150
"Indus OS",4,147
Voonik,4,142
Kartrocket,2,140
Shuttl,4,133
HealthifyMe,6,131
IndustryBuying,4,130
FabHotels,2,128
MoneyOnMobile,2,126
Furlenco,4,125
Zilingo,3,121
BigBasket,4,120
Box8,3,120
MilkBAsket,4,118
KrazyBee,3,114
Nykaa,6,114
Swiggy,8,114
Fingerlix,3,113
MyGlamm,2,113
BlackBuck,6,112
Springboard,2,112
NoBroker,6,110
Zappfresh,3,107
CreditMantri,2,101
Coverfox,5,100
Travelyaari,2,100
Koovs,3,99
WickedRide,2,98
Ola,4,98
Shopclues,3,97
Uniphore,5,96
Razorpay,5,93
Mobikon,3,93
Shadowfax,2,93
Revv,2,91
Ofbusiness,4,91
CCAvenue,2,91
HungerBox,2,90
Tonetag,2,90
Clovia,2,90
EazyDiner,4,88
Ninjacart,3,87
Udaan,4,86
AyeFinance,3,86
POPxo,2,86
holachef,6,86
Truebil,3,86
HomeLane,4,85
DocsApp,2,84
Opinio,2,83
"Travel Triangle",2,81
LivSpace,2,81
BeaconsTalk,2,81
Wooplr,4,80
Postman,2,80
Mobikwik,4,77
TinyOwl,2,76
OneAssist,2,75
Zarget,2,75
Snapbizz,2,72
Loantap,2,70
Stockroom.io,2,70
Flyrobe,2,70
Snapdeal,2,70
Cashe,2,69
Icertis,4,68
"Wow Express",2,67
Kredx,2,67
Villgro,2,67
Chillr,2,67
ZestMoney,2,66
Faasos,2,66
Purplle,2,65
Canvera,3,65
Aasaanjobs,2,65
"Avanti Learning",2,65
"OYO Rooms",5,63
Treebo,2,63
LatestOne,2,63
"Pi Ventures",2,62
Lenskart,6,62
"Square Yards",3,62
Simplilearn,4,62
Gadgetwood,2,62
Jugnoo,5,62
"RAW Pressery",2,60
"Mech Mocha",2,60
"Stalk Buy Love",2,60
"Connect India",2,60
Teabox,2,60
"The Porter",2,60
Sigtuple,3,59
iNurture,2,59
Lookup,3,58
Bira91,2,57
"Shubh Loans",2,57
Medinfi,6,57
Taskbob,2,57
Pharmeasy,3,56
Tripoto,3,55
CureJoy,2,55
Unacademy,4,54
PaySense,2,54
ShareChat,3,54
JustRide,3,54
ShopX,2,53
MyUpchar,2,53
"Capital Float",5,53
Zoomcar,4,53
MyGubbi,2,52
"Julia Computing",2,52
UrbanClap,6,52
Wassup,3,52
Vedantu,2,51
Chargebee,2,51
Housing.com,2,51
Increff,2,50
CollegeDekho,3,50
"Ace Turtle",2,50
Parcelled,2,50
Meesho,6,49
Moglix,5,49
Innoviti,2,49
"Early Salary",2,47
Capricoast,2,47
GOQii,5,46
Fisdom,3,46
iqlect,3,45
Whatfix,2,45
Vebbler,2,45
Licious,4,44
Pratilipi,3,44
"Get My Parking",3,44
Peppertap,4,44
Zomato,4,43
Care24,2,43
Smaaash,2,42
MoEngage,2,42
InnerChef,2,42
"KOOH Sports",2,42
icustommadeit,2,42
Housejoy,2,42
Mamaearth,5,41
Agrostar,2,41
CueMath,2,41
DriveU,3,40
