Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
1,BYJUâ€™S,E-Tech,E-learning,Bengaluru,"Tiger Global Management","Private Equity Round","20,00,00,000",2020-01-09,
2,Shuttl,Transportation,"App based shuttle service",Gurgaon,"Susquehanna Growth Equity","Series C","80,48,394",2020-01-13,
3,Mamaearth,E-commerce,"Retailer of baby and toddler products",Bengaluru,"Sequoia Capital India","Series B","1,83,58,860",2020-01-09,
4,https://www.wealthbucket.in/,FinTech,"Online Investment","New Delhi","Vinod Khatumal","Pre-series A","30,00,000",2020-01-02,
5,Fashor,"Fashion and Apparel","Embroiled Clothes For Women",Mumbai,"Sprout Venture Partners","Seed Round","18,00,000",2020-01-02,
6,Pando,Logistics,"Open-market, freight management platform",Chennai,"Chiratae Ventures","Series A","90,00,000",2020-01-13,
7,Zomato,Hospitality,"Online Food Delivery Platform",Gurgaon,"Ant Financial","Private Equity Round","15,00,00,000",2020-01-10,
8,Ecozen,Technology,Agritech,Pune,"Sathguru Catalyzer Advisors","Series A","60,00,000",2019-12-12,
9,CarDekho,E-Commerce,Automobile,Gurgaon,"Ping An Global Voyager Fund","Series D","7,00,00,000",2019-12-06,
10,"Dhruva Space",Aerospace,"Satellite Communication",Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",2019-12-03,
11,Rivigo,Technology,"Logistics Services and Solutions",Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.","Series F","2,00,00,000",2019-12-13,
12,Healthians,"B2B-focused foodtech startup","Food Solutions For Corporate",Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux","Series C","1,20,00,000",2019-12-17,
13,Licious,E-Commerce,"Online Meat And Seafood Ordering Startup",Bengaluru,"Vertex Growth Fund","Series E","3,00,00,000",2019-12-16,
14,InCred,Finance,"Non-Banking Financial Company",Mumbai,,"Debt Funding","59,00,000",2019-12-16,
15,Trell,Video,"Experience Discovery Platform",Bengaluru,"Ruizheng Investment","Seed Round","20,00,000",2019-12-14,
16,"Rein Games",Gaming,"Real money based gaming startup",Noida,"Manipal Education and Medical Group (MEMG)","Seed Round","5,00,00,000",2019-12-11,
17,Lenskart.com,E-Commerce,"Online Eyewear Shopping Portal",Faridabad,"SoftBank Vision Fund","Series G","23,10,00,000",2019-12-20,
18,Freshworks,Software,"Business and customer engagement tools","San Francisco","Sequoia, CapitalG, Accel","Series H","15,00,00,000",2019-11-13,
19,Misters,"Health and wellness","Men's Health and Wellness brand",Gurgaon,"Sauce.vc, Rainforest Ventures","Series B","4,86,000",2019-11-14,
20,"Sunstone Eduversity Pvt. Ltd",Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",2019-11-13,
21,"Burger Singh","Food and Beverage","Indian Burger Brand",Gurgaon,"RB Investments",Venture,undisclosed,2019-11-17,
22,Healthians,"Health and Wellness","Healthcare services",Gurgaon,"DG Daiwa Ventures, DG Incubation","Series B","1,20,00,000",2019-11-18,
23,Ninjacart,"B2B Marketing",Agritech,Bengaluru,"Trifecta Capital Advisors","Debt Funding","2,60,00,000",2019-11-15,
24,"Aye Finance",FinTech,"Financial Services To MSMEs",Gurgaon,FinTech,"Debt Funding","1,74,11,265",2019-11-20,
25,SuperGaming,"Video Games","Social gaming platform",Pune,"Dream Incubator","Seed Funding","13,00,000",2019-11-12,
26,Clumio,SaaS,"Recovery software","San Jose,","Altimeter Capital, Sutter Hill Ventures","Series C","13,50,00,000",2019-11-20,
27,eBikeGo,"Last Mile Transportation","Electric bike rental",Amritsar,"Startup Buddy",Seed,"3,00,000",2019-11-11,
28,"Digital Mall Asia",E-Commerce,"Virtual e-commerce platform",Delhi,"Amour Infrastructure","Seed Funding","22,00,00,000",2019-11-19,
29,Medikabazaar,Healthcare,"B2B platform for medical supplies",Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing","Series B","1,58,00,000",2019-11-18,
30,"Vogo Automotive","Last Mile Transportation","Scooter sharing app",Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital","Series B","28,30,00,000",2019-11-15,
31,"Furtados School of Music",Education,"Music Education",Tulangan,"IAN Fund and DSG Consumer Partners",,"20,00,00,000",2019-11-19,
32,Paytm,FinTech,"Mobile Wallet",Noida,"Vijay Shekhar Sharma","Funding Round","1,00,00,00,000",2019-11-25,
33,Dunzo,"Customer Service","Delivery Service",Bengaluru,Lightbox,"Series D","4,50,00,000",2019-10-04,
34,Udaan,B2B,"Business development",Bengaluru,"Altimeter Capital, DST Global","Series D","58,50,00,000",2019-10-02,
35,"The Man Company","Consumer Goods","Beauty and Grooming",Gurgaon,"Ayushmann Khurana","Corporate Round",unknown,2019-10-21,
36,"FPL Technologies",FinTech,"Financial Services",Pune,"Matrix Partners India, Sequoia India","Maiden Round","45,00,000",2019-09-05,
37,Cashflo,FinTech,"Invoice discounting platform and SME lending marketplace",Mumbai,"SAIF Partners","Series A","33,00,000",2019-09-04,
38,"Digital F5","Advertising, Marketing","Digital marketing firm",Mumbai,"TIW Private Equity","Private Equity Round","60,00,000",2019-09-04,
39,3rdFlix,SaaS,"Education Technology",Hyderabad,"Exfinity Venture Partners","pre-series A","50,00,000",2019-09-04,
40,75F,IoT,"Building automation system",Burnsville,"Breakthrough Energy Ventures","Series A","1,80,00,000",2019-09-04,
41,"Myelin Foundry","Information Technology",Deep-technology,Bengaluru,"Endiya Partners",Seed,"10,00,000",2019-09-04,
42,"Atomberg Technology","Consumer Technology","Consumer Electronics, Home Appliances",Mumbai,"A91 Partners","Series A","1,00,00,000",2019-09-04,
43,GOQii,"Health and Wellness","Wearable Fitness Bands","Menlo Park","Bennett Coleman and Company Ltd (BCCL)","Series C","45,00,00,000",2019-09-04,
44,"Vyapar App",Accounting,"Mobile-based Accounting Software",Bengaluru,"India Quotient, Axilor Ventures","Series A","50,00,000",2019-09-03,
45,CarDekho,E-Commerce,Automotive,Gurgaon,"SC GG India Mobility Holdings LLC","Series C","2,00,00,000",2019-08-01,nan
46,Progcap,Finance,"Supply Chain Management","New Delhi","Sequoia India","Series A","50,00,000",2019-08-01,nan
47,MyPetrolPump,Retail,"Fuel Delivery",Bengaluru,,"Seed Funding Round","16,00,000",2019-08-01,nan
48,"Alteria Capital",Finance,"VC Funds",Mumbai,"Azim Premji, Binny Bansal","Single Venture","14,00,00,000",2019-08-01,nan
49,"Pine Labs","Information Technology","Last-mile retail transaction technology",Noida,"Pine Labs Pte Ltd","Corporate Round","3,80,80,000",2019-08-01,nan
50,Meesho,E-Commerce,"Social Commerce",Bengaluru,Naspers,"Series D","12,50,00,000",2019-08-12,nan
51,Cars24,E-Commerce,"Car Retail",Gurugram,"MS Dhoni","Series D","1,10,00,000",2019-08-13,nan
52,Uniphore,"Customer Service Platform","Conversational AI","Palo Alto","March Capital Partners","Series C","5,10,00,000",2019-08-13,nan
53,Zendrive,Automotive,"Road Safety Analytics","San Francisco","XL Innovate","Series B","3,70,00,000",2019-08-23,nan
54,"Lo! Foods","Consumer Goods","Low carb food for Diabetics",Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)","Seed Round","5,00,000",2019-08-23,nan
55,Tala,FinTech,"Digital Lending Platform","Santa Monica","RPS Ventures","Series D","11,00,00,000",2019-08-23,nan
56,INDwealth,FinTech,"Wealth Management",Gurgaon,"Tiger Global Management","Venture Round","1,50,00,000",2019-08-22,nan
