Industry_Vertical,industry_count
Healthcare,59164
"User Engagment & Analytics platform",96
"Beauty & Wellness Products e-tailer",95
"Industrial Tools Marketplace",92
"Ecommerce Delivery locker services",90
"Hyperlocal Delivery Services",90
"Micro Finance Platform",86
"Dental Clinic chain",82
"End-to-End Lending platform",80
"proximity marketing & Mobile Advertising platform",80
"Home Design & D\\xc3\\xa9cor solutions",80
"Online Travel Marketplace",80
"Gesture based Mobile Development",77
"Food Ordering & Delivery App",77
"Raw Meat & Ready to eat food etailer",77
"Location based Nightlife recommendation\\xc2\\xa0 Platform",77
"Designer fashion Jewellery Marketplace",75
"Food Discovery & Delivery Mobile app",75
"Credit Card Fraud protection solutions",75
"Celebrity Fashion Brand",75
"Tech Recruitment platform",75
"Developer Portfolio Showcase platform",70
"Last Mile Delivery Service",70
"E-Commerce & M-Commerce platform",68
"Mobile Wallet",66
"Language Learning App",65
"Advertising, Marketing",60
"Ready to cook packaged Foods",60
"Mobile Payments App",60
"Online Homeopathy Clinic",60
"Spa & Salon Management Software",60
"Healthy Food Manufacturer",60
"Online Budget Hotel Booking Service",60
"Freight logistics platform",60
"Real Estate Advisory",60
"Online Pharmacy & Drug DB",60
"Cloud Enterprise Software",60
"Transportation & Logistics Platform",56
"Hyperlocal Mobile Marketplace",55
Accounting,50
"Online Branded Furniture etailer",50
"B2B eCommerce Marketplace",50
"Alternate Mobile Monetization platform",50
"Car Aggregator & Retail Mobile App",50
"Personalized Wish List creator app",50
"Big Data Management Platform",50
"Ecommerce Marketplace",50
"ECommerce Logistics provider",50
"Real Estate Rating & Analysis",50
"Auto Rickshaw Based Services",50
"Private Label lingerie Ecommerce",50
"Fashion Ecommerce store",50
"IT / Customer Engagement Consulting",50
"Data Driven recruitment recommendation",50
"Lifestyle Ecommerce Portal",50
"Affordable Hotel Booking Online",50
"Self-driven Car rental",50
"Hyper-local Online Services",50
"Payment Solutions platform",48
"Custom Made furniture e-tailer",45
"Online Payment Gateway",45
Publishing,43
Transportation,42
"Mobile Marketing Automation Platform",42
"Data Analytics Platform",42
"Hyperlocal\\xc2\\xa0 Grocery Delivery Service",40
"Viral Content web Platform",40
"Mobile Commerce for Farmers",40
"Cross-channel CRM platform",40
"Language Localization Cloud platform",40
"Online Learning Platform",40
"Cab Aggregator",40
"Material Collection & Recycling",40
B2B,39
"Ecommerce Discount & Cashback coupons platform",37
"Online Marketplace",36
"SaaS, Ecommerce",35
Food,35
"Modular Furnishings Marketplace",35
"Fashion ECommerce",35
"Startup Analytics platform",35
"Data Driven Publishing platform",33
Automation,30
"Online School for Analytics learning",30
"Nonbanking finance company",30
"Performance Optimization Platform for athletes",30
"Mobile accessories online store",30
"Online Real Estate Marketplace",30
"E-Learning Service Provider",30
"Early Cancer Detection Solutions",30
"Financial Services Portal",30
"Restaurant Reservation Platform",30
"Budget Accommodation aggregator",30
"Real Estate Intelligence Platform",30
"3D Printer Manufacturer",30
"B2C Messaging App",30
Tech,29
"Travel Tech",29
"Real Estate Mobile CRM",29
Fiinance,28
"Used Car Marketplace",28
Deep-Tech,25
Entertainment,25
"Mobile Point of Sale solutions",25
"conversational commerce mobile app",25
"Mobile Messaging Assistant App",25
"Online Logistics Platform",25
"Mutual Fund Investing platform",25
"Credit Management Services",25
"Flat rental Mobile App",25
"Hyperlocal Maintenance, Repair & Cleaning services",24
"Medical Tech Instruments",24
"Business intelligence & Analytics",24
"Restaurant customer engagement platform",23
"B2B Platform",22
"Photographer Online search & booking platform",22
"Digital & Physical Publishing platform",22
"Travel Entertainment",22
"Food and Beverage",21
"Home services marketplace",21
E-Tech,20
Video,20
Education,20
"Social Media",20
Fin-Tech,20
"Digital Healthcare",20
"Home Cooked Food Order & Delivery platform",20
"End to End reverse logistics Solution platform",20
"Logistics Service Provider Marketplace",20
"Sports Education Platform",20
"Online content platform for women",20
"Online Furniture, Home Appliances Rental Platform",20
"Self Driven Rental Car Platform",20
"Product discovery & recommendation platform",20
"Home Cooked Food marketplace & Delivery",20
"Competitive exam learning platform",20
"Cloud-based Hotel Booking Platform",20
"Online Insurance Distribution Platform",20
"Solar Power Solutions company",20
"Beauty & Lifestyle Mobile Marketplace",20
"Coupon Aggregator Platform",20
"Hasbro Toy Manufacturer",20
"Online Security Platform",20
"Cloud Data Integration Platform",20
"Mobile Laundry Cleaning Service",20
"On-demand Service marketplace",20
"Premium Beverages",20
"Health and wellness",19
EdTech,19
"Marketplace App for Bangkok",19
"Fashion and Apparel",18
Finance,18
SaaS,18
IT,18
"Dairy Based Product Manufacturer",18
"Last Minute Travel Deals mobile marketplace",18
"Financial Tech",17
"Data Science & UX design Learning platform",17
FinTech,16
"Last Mile Transportation",16
Retail,16
Agriculture,16
"Quick Service Restaurant Chain",16
"F&B sector Mobile Payment platform",16
"Mobile Chat based concierge service",16
"Hyperlocal Mobile Services Marketplace",16
Logistics,15
Automobile,15
"Last Minute Hotel Booking App",15
"Skill Training Startup",15
"Mobile App based Loan disbursement platform",15
Micro-Brewery,15
"Wealth Management Platform",15
"Online Food Delivery",15
"Online Classifieds",15
"Private Coaching Centers",15
Agtech,14
Ecommerce,14
"Food & Beverage",14
"Hyperlocal Handyman services",14
"Online Education Platform",14
"Video Games",13
"Information Technology",13
Services,13
"On-Demand Delivery Logistics",13
"Hyperlocal food & grocery store",13
"Logistics Solution Provider",13
E-commerce,12
Hospitality,12
Technology,12
"Health Care",12
"Logistics Tech",12
Others,12
"Virtual Health consultation app",12
"Electric Bike Manufacturers",12
"Indian Ethnic Crafts Etailer",12
"Hyper-local Grocery Delivery platform",12
"Food Delivery Platform",12
"Mobile App testing platform",12
"Cross-device retargeting platform",12
"Innovative Water Solutions",12
"Online Kitchen Furniture",12
"OnDemand\\nMobile Handyman Services",12
"Real Estate",11
Ed-Tech,11
"Food and Beverages",11
"Asset Financing platform",11
"Cab rental Mobile app",11
"Online Health & Wellness platform",11
"Luxury Label",10
"Food Tech",10
"Consumer Internet",10
"Food & Beverages",10
eCommece,10
Reality,10
"Online Education Information platform",10
"Wedding Venues & Vendors Marketplace",10
"visual search and discovery platform",10
"Mobile Game development & Design platform",10
"Grocery Delivery platform",10
"Beauty and Wellness Marketplace",10
"Hyperlocal healthcare product Delivery Service provider",10
"Online Consumer Lending platform",10
"Advertising & Marketing Community Networking platform",10
"Mobile Only Shopping Assistant",10
"Structural & Civil Engg Service Automation",10
"Personalized Styling platform",10
"pre-used apparel shopping mobile app",10
"Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s",10
"Online Meat Ordering platform",10
"Mobile Advertising platform",10
"Budget Accommodation Platform",10
"Digital Signal processing platform",10
"Budget Hotel accommodation brand",10
"mobile payment software platform",10
"Deep Learning Cloud Algorithms",10
"Corporate Wellness App",10
"On-Demand App based Professional service provider",10
"CRM / Analytics platform",10
"Custom Merchandize platform",10
"Music Streaming App",10
"Budget Hotel Accommodation",10
"Organic Food ecommerce",10
"Fitness Marketplace",10
"Real Estate Broker network App",10
"Online home d\\xc3\\xa9cor marketplace",10
"Online Fashion Video Portal",10
"Video Intelligence Platform",10
"Marketing / Advertising Automation platform",10
"Online Product Comparison",10
"Offline Tea Chain",10
"Online Ed-Tech Platform",10
"Online Home D\\xc3\\xa9cor",10
"API Workflow platform",10
"Location Based App",10
"Online Hotel Booking",10
"Auto Rickshaw based Logistics",10
"Food Logistics & Delivery",10
"Used Gadgets Buy / Refurbishing",10
Transport,9
"Online Grocery platform",9
"Luxury goods\\xc2\\xa0 Shopping Platform",9
"Doctor Appointment booking app",9
"Interactive\\xc2\\xa0 How-To Guides",9
nan,9
Software,8
"Logistics Tech Platform",8
"virtual reality, 3d simulation and stereoscopic products",8
"Big Data & Analytics platform",8
"Ecommerce Logistics",8
"Peer-to-Peer Money Transfer & Recharge App",7
"Artificial Intelligence platform",7
"Bus Aggregation and rental mobile app",7
"Two-Wheeler Taxi Service",7
"Exclusive Platform for Doctors & Healthcare professionals",7
"Multilingual Test Preparation Platform",7
"Private label Fashion eTailer",7
"Tech Platform for property brokers",7
"Crowd funding platform",7
"Career Community for Women",7
"Bike Rental Platform",7
Nanotechnology,6
"Test Automation SAAS platform",6
"Branded Food products online sales",6
"Numerical Computing & Data Science Platform",6
"Health-Tech platform",6
"Online food ordering & Delivery service",6
"Community Driven News/Views Platform",6
"Restaurant Ratings & Reviews platform",6
"Online Food ordering & delivery",6
"fund raising platform for startups",6
"Fast food Chain Franchisee",6
"Business and IT consulting",6
"Online marketplace for Photographers",6
"Visual Blogging platform",6
"Hyperlocal Electronics repair Service",6
"Online Financial Services",6
"Online & Mobile classified listings",6
"Online Jewelry Store",6
"Affordable Education",6
Aerospace,5
Gaming,5
"Customer Service Platform",5
"Waste Management Service",5
"Services Platform",5
"Online Education",5
Media,5
"Enterprise Marketing Automation platform",5
"Digital Analytics Platform",5
"Internet Network Infrastructure Services",5
"Medical Consultation & Doctor appointment booking platform",5
"Mobile Fitness App",5
"Mobile Car Servicing appointment app",5
"Budget Hotels Aggregator",5
"Mobile Growth Hacking\\nPlatform",5
"Auto Insurance Online platform",5
"Kids Tool kit for Innovation platform",5
"Smartwatch Maker",5
"Online and TV Shopping Marketplace",5
"character merchandize sales platform",5
"Job Board",5
"QSR & Online delivery portal",5
"Professionals & Project Search Marketplace",5
"Online Pharmacy",5
"hotel booking app",5
"App security\\xc2\\xa0 testing platform",5
"Loyalty Programs & Reward Points",5
"Taxi Rental platform",5
"Online & mobile Grocery store",5
"Ecommerce Marketing Software Platform",5
"Online Food Community Platform",5
"Tech enabled logistics platform",5
"Hyperlocal Deals Marketplace",5
"Hyperlocal Grocery App",5
"Probiotic Technology Products Manufacturer",5
"Architectural Design & Consulting",5
"eCommerce platform",5
"Renewable energy solutions",5
"Home Furnishing Solutions",5
"Intra-City Logistics service",5
"Online Coupon & comparison platform",5
"Online Education Marketplace",5
"Video Advertisement Platform",5
"App Analytics platform",5
"Workforce Management Software",5
"Online Table Reservation",5
"Parents focused Web Content",5
"Online Furnishing\\neCommerce",5
"Online / Mobile Customer Support",5
"usiness expense management",5
"Hiring Analytics platform",5
"Customer Service",4
Food-Tech,4
"Online Counselling and psychological support platform",4
"Online Vehicle Spare Parts etailer",4
"Event Ticketing platform",4
"Online Jewellery etailer",4
"Online Student & Campus Social Networking platform",4
"Public Commute helper App",4
"Online Lingerie Marketplace",4
"Cloud software solutions",4
"Job Search Platform",4
"Small Business Financing (NBFC)",4
"Government Test Preparation platform",4
"Wedding Planning Platform",4
"B2B Mobile Auction Marketplace",4
"Online Interior Designing platform",4
"Employee OnBoarding & Orientation platform",4
"Restaurant Discount app",4
"Professional Service Appointment booking service",4
"On-Demand Beauty Service",4
"Online Food-Tech Platform",4
"Off-grid Solar Power",4
"Health Mobile App",4
"Online Policy Aggregator",4
"Interactive Educational Games",4
"Financial Markets Software",4
Automotive,3
"Artificial Intelligence",3
Investment,3
"QSR Chain",3
"Picture creation & Social mobile app",3
"Logistics Services Provider",3
"B2B Merchandize platform",3
"Quick Service Restaurant & Online Delivery",3
"Online Loans Marketplace",3
"Women Ethnic Wear\\xc2\\xa0 Online Marketplace",3
"Mobile Learning Solutions",3
"Movie-on-demand platform",3
"on-demand healthcare marketplace",3
"residential rental management platform",3
"Professional Health Services Platform",3
"Non Profit Organization to alleviate poverty",3
"Branded Budget Hotel Marketplace",3
"Real Estate Broker Platform App",3
"Home Medical Care Services",3
"Private Label Apparel sales",3
